sim rep samples read_depth fst_13 fst_23 ne_pop2 acc_pop32 acc_pop2 z_ind pop runtime_ref_z runtime_z
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -15.0552765 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -14.8094294 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -17.4240362 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -13.2772417 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -15.5800073 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -14.1991267 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -14.2810289 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.0854469 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.9029128 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -1.2516177 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 0.1602220 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.6159044 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -1.2075828 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.7704841 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.2084471 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -0.8443386 pop2 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 0.0729722 pop2 48 23
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 2.6096070 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.6515985 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.6494131 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 0.1491925 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.4646762 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.0775083 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.0234606 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.9534242 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.9228144 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 2.5393911 pop3 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.0204872 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 0.0219650 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.4747974 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.4676600 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.4072212 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.6576049 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.0201550 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 -0.5730757 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 0.3714495 pop2 42 19
25 1 10 1 0.01275 0.00482 2.4341063 1 0.9 2.7097887 pop2 42 19
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -2.3452274 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.7422866 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.3913077 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.4474150 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -1.4439953 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -1.1703520 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -1.3747385 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.6538036 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.2530200 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.1404572 pop3 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 0.0473864 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 0.5312123 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.9850477 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -2.3147732 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.0028947 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 0.2376950 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 0.5186142 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 0.7560582 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.9699264 pop2 51 26
26 1 10 5 0.01054 0.00803 7.2144136 1 0.8 -0.8172781 pop2 51 26
