sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
27 4 100 100 10 0.0204 95.82 0.98 96.07065 0.98
19 5 100 10 1 0.02346 36.313465 1 2.1893406 0.5
84 2 10 10 10 0.00578 8.339692 1 8.441316 0.7
59 4 10 50 5 0.00569 7.010605 0.4 42.82457 1
43 4 50 100 1 0.01024 16.845467 0.96 36.03232 1
48 4 100 10 10 0.00885 97.04413 1 7.979721 0.3
60 4 10 50 10 0.00726 8.013642 0.5 48.498695 1
51 3 100 50 10 0.01189 96.92396 1 47.05611 0.98
64 4 50 10 1 0.0085 17.69427 1 2.3529618 0
61 2 10 100 1 0.00898 2.3193452 0.1 36.316475 1
82 3 10 10 1 0.00778 2.3617165 0.8 2.343882 1
83 3 10 10 5 0.00475 7.318365 0.8 7.3212337 0.9
50 3 100 50 5 0.01148 85.56576 1 41.33033 0.98
85 1 10 50 1 0.00931 2.3395004 0 17.706278 1
86 1 10 50 5 0.00582 7.04565 0.4 42.77195 1
66 4 50 10 10 0.00887 48.50039 1 7.8729944 0.7
22 5 100 50 1 0.01909 35.83072 1 16.23014 1
58 5 10 50 1 0.00704 2.359921 0.1 17.680803 1
65 4 50 10 5 0.00875 42.824703 1 6.9528146 0.5
87 1 10 50 10 0.00637 8.077797 0.5 48.498165 1
84 3 10 10 10 0.0023 8.469758 0.7 8.52383 0.7
67 3 50 50 1 0.00894 17.22401 1 17.300209 0.98
80 1 100 100 5 0.00693 85.39217 0.97 85.31875 0.99
73 2 100 10 1 0.00744 36.313442 1 2.3393672 0
82 4 10 10 1 0.00434 2.3550804 0.6 2.3766239 0.8
83 4 10 10 5 0.00426 7.3289905 0.8 7.391212 0.8
92 1 50 10 5 0.00386 42.737114 1 7.152746 0.1
79 1 100 100 1 0.00875 35.87111 0.98 35.796284 0.98
62 3 10 100 5 0.00622 6.9573617 0.1 85.70958 1
91 1 50 10 1 0.0063 17.710482 1 2.3731236 0
89 1 10 100 5 0.00514 7.0247254 0.1 85.73935 1
81 1 100 100 10 0.00706 96.91429 0.98 96.9715 0.98
93 1 50 10 10 0.00577 48.504345 0.96 8.041231 0.3
68 3 50 50 5 0.00639 42.429546 0.98 42.494293 0.94
52 3 100 100 1 0.01057 35.638542 0.98 35.728886 0.99
71 2 50 100 5 0.00718 42.11829 0.94 85.59306 0.98
59 5 10 50 5 0.00827 6.9656057 0.4 42.7914 0.98
60 5 10 50 10 0.00616 8.034421 0.5 48.50112 1
