sim rep samples read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2 runtime runtime_full maf snps
37 1 100 0.1 0.02044 2.1106584 0.99 2.0985904 1 7 290 raw 100000
31 3 50 0.1 0.01807 1.2162029 1 1.2209264 1 4 106 filtered 100000
34 4 50 5 0.01996 41.246014 1 41.43932 1 2 6 filtered 100000
35 4 50 10 0.02038 39.383003 1 39.277897 1 3 8 raw 100000
38 1 100 0.5 0.01705 19.435684 0.99 19.482487 0.99 6 73 filtered 100000
35 4 50 10 0.02038 47.246864 1 47.152584 1 2 8 filtered 100000
33 5 50 1 0.01967 12.89697 1 12.962607 1 2 12 raw 100000
13 5 100 0.1 0.1095 2.8884022 0.99 2.8977258 1 6 205 filtered 100000
14 5 100 0.5 0.1166 16.71493 1 16.524971 1 6 172 filtered 100000
22 1 500 5 0.10988 285.21307 0.998 290.16705 1 32 944 raw 100000
36 3 50 50 0.02069 41.199303 1 40.517246 1 2 7 raw 100000
33 5 50 1 0.01967 16.735697 1 16.750105 1 3 12 filtered 100000
34 5 50 5 0.01851 33.427853 1 33.652126 1 3 6 raw 100000
32 4 50 0.5 0.01875 6.5215583 1 6.601379 0.98 5 86 raw 100000
35 5 50 10 0.01903 39.1321 1 39.28639 0.96 2 9 raw 100000
34 5 50 5 0.01851 41.014397 1 41.25204 1 2 9 filtered 100000
31 4 50 0.1 0.01811 0.89953667 0.9 0.89409226 1 4 103 raw 100000
36 3 50 50 0.02069 48.663494 1 48.93921 0.98 2 7 filtered 100000
39 1 100 1 0.02057 26.083555 1 26.08275 0.99 5 39 raw 100000
35 5 50 10 0.01903 47.02615 1 47.395794 0.96 3 7 filtered 100000
32 4 50 0.5 0.01875 8.883149 1 8.903882 1 5 85 filtered 100000
38 2 100 0.5 0.01826 13.7566185 0.99 13.720102 1 6 74 raw 100000
37 1 100 0.1 0.02044 3.1903985 0.99 3.2100897 1 7 292 filtered 100000
31 4 50 0.1 0.01811 1.2210925 0.98 1.2194356 1 5 106 filtered 100000
39 1 100 1 0.02057 35.09006 1 35.00479 0.98 5 38 filtered 100000
